




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
AIR ACRES                     2378                          1935                          81.37%
ARNOLD MILL                   3560                          3021                          84.86%
AVERY                         2445                          2068                          84.58%
BALL GROUND                   2800                          2339                          83.54%
BASCOMB                       3357                          2739                          81.59%
BELLS                         4038                          3159                          78.23%
BOOTH                         3354                          2807                          83.69%
BRADSHAW                      3521                          3039                          86.31%
BRIDGEMILL                    4187                          3485                          83.23%
CANTON                        4665                          3564                          76.40%
CARMEL                        3139                          2322                          73.97%
WOODSTOCK                     4697                          3566                          75.92%
CLAYTON                       2774                          2287                          82.44%
CONNS CREEK                   617                           493                           79.90%
DEER RUN                      2458                          2047                          83.28%
DIXIE                         4384                          3369                          76.85%
FREEHOME                      4262                          3570                          83.76%
HICKORY FLAT                  4424                          3666                          82.87%
HIGHTOWER                     2646                          2245                          84.85%
HILLSIDE                      2819                          2356                          83.58%
HOLLY SPRINGS                 2060                          1626                          78.93%
KELLOGG                       3943                          3065                          77.73%
LIBERTY                       6086                          4787                          78.66%
LITTLE RIVER                  5549                          4579                          82.52%
MACEDONIA                     3648                          3123                          85.61%
MOUNTAIN ROAD                 2584                          2144                          82.97%
OAK GROVE                     2806                          2217                          79.01%
R M MOORE                     2434                          2021                          83.03%
R T JONES                     1819                          1345                          73.94%
ROSECREEK                     3217                          2686                          83.49%
SALACOA                       539                           445                           82.56%
SIXES                         2444                          2100                          85.92%
SUTALLEE                      1874                          1575                          84.04%
TEASLEY                       5707                          4666                          81.76%
TOONIGH                       4961                          4104                          82.73%
UNION HILL                    3126                          2652                          84.84%
UNIVETER                      4100                          3355                          81.83%
VICTORIA                      2407                          1930                          80.18%
WALESKA                       2037                          1699                          83.41%
WILDCAT                       2534                          2060                          81.29%
WOODLANDS                     2871                          2430                          84.64%
NEESE                         5538                          4494                          81.15%
Total:                        138809                        113180                        81.54%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
SUTALLEE                      1874                          744                           35                            582                           0                             1361                          1361                          
TEASLEY                       5707                          1640                          158                           2090                          1                             3889                          3889                          
TOONIGH                       4961                          1339                          136                           1916                          0                             3391                          3391                          
UNION HILL                    3126                          1040                          108                           1130                          0                             2278                          2278                          
UNIVETER                      4100                          803                           116                           1957                          0                             2876                          2876                          
VICTORIA                      2407                          731                           53                            860                           2                             1646                          1646                          
WALESKA                       2037                          681                           67                            661                           1                             1410                          1410                          
WILDCAT                       2534                          706                           60                            935                           0                             1701                          1701                          
WOODLANDS                     2871                          1119                          69                            675                           0                             1863                          1863                          
NEESE                         5538                          1645                          180                           1729                          2                             3556                          3556                          
Totals:                       138809                        37959                         4200                          51224                         23                            93406                         93406                         

                                                                                                  CORONER
                                                            E. W. DARBY (I) R                                                                                                                                     
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
AIR ACRES                     2378                          695                           104                           803                           1                             1603                          1603                          
ARNOLD MILL                   3560                          1030                          126                           1370                          0                             2526                          2526                          
AVERY                         2445                          613                           82                            1104                          0                             1799                          1799                          
BALL GROUND                   2800                          597                           59                            1399                          1                             2056                          2056                          
BASCOMB                       3357                          915                           91                            1202                          0                             2208                          2208                          
BELLS                         4038                          1273                          95                            1057                          2                             2427                          2427                          
BOOTH                         3354                          770                           144                           1412                          1                             2327                          2327                          
BRADSHAW                      3521                          693                           132                           1750                          0                             2575                          2575                          
BRIDGEMILL                    4187                          1115                          162                           1706                          1                             2984                          2984                          
CANTON                        4665                          915                           157                           1777                          0                             2849                          2849                          
CARMEL                        3139                          807                           94                            902                           0                             1803                          1803                          
WOODSTOCK                     4697                          1000                          118                           1679                          0                             2797                          2797                          
CLAYTON                       2774                          715                           65                            1213                          0                             1993                          1993                          
CONNS CREEK                   617                           207                           11                            213                           0                             431                           431                           
DEER RUN                      2458                          841                           72                            803                           1                             1717                          1717                          
DIXIE                         4384                          1167                          159                           1401                          2                             2729                          2729                          
FREEHOME                      4262                          1399                          149                           1528                          0                             3076                          3076                          
HICKORY FLAT                  4424                          1095                          128                           1865                          0                             3088                          3088                          
HIGHTOWER                     2646                          754                           71                            1123                          0                             1948                          1948                          
HILLSIDE                      2819                          707                           115                           1139                          0                             1961                          1961                          
HOLLY SPRINGS                 2060                          605                           49                            732                           1                             1387                          1387                          
KELLOGG                       3943                          1228                          93                            1163                          2                             2486                          2486                          
LIBERTY                       6086                          1490                          178                           2265                          2                             3935                          3935                          
LITTLE RIVER                  5549                          1324                          275                           1993                          1                             3593                          3593                          
MACEDONIA                     3648                          936                           103                           1652                          0                             2691                          2691                          
MOUNTAIN ROAD                 2584                          770                           75                            956                           0                             1801                          1801                          
OAK GROVE                     2806                          905                           71                            838                           0                             1814                          1814                          
R M MOORE                     2434                          760                           59                            925                           0                             1744                          1744                          
R T JONES                     1819                          374                           40                            692                           1                             1107                          1107                          
ROSECREEK                     3217                          926                           97                            1191                          0                             2214                          2214                          
SALACOA                       539                           267                           12                            100                           0                             379                           379                           
SIXES                         2444                          756                           69                            941                           0                             1766                          1766                          
SUTALLEE                      1874                          748                           36                            581                           0                             1365                          1365                          
TEASLEY                       5707                          1652                          160                           2127                          1                             3940                          3940                          
TOONIGH                       4961                          1346                          135                           1934                          0                             3415                          3415                          
UNION HILL                    3126                          1036                          107                           1131                          0                             2274                          2274                          
UNIVETER                      4100                          804                           114                           1973                          0                             2891                          2891                          
VICTORIA                      2407                          726                           50                            864                           2                             1642                          1642                          
WALESKA                       2037                          687                           68                            659                           1                             1415                          1415                          
WILDCAT                       2534                          721                           60                            947                           0                             1728                          1728                          
WOODLANDS                     2871                          1121                          71                            678                           0                             1870                          1870                          
NEESE                         5538                          1655                          180                           1738                          2                             3575                          3575                          
Totals:                       138809                        38145                         4236                          51526                         22                            93929                         93929                         

                                                                                         CHIEF MAGISTRATE
                                                            J. E. DRANE III (I)R                                                                                                                                  
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
AIR ACRES                     2378                          687                           102                           793                           1                             1583                          1583                          
ARNOLD MILL                   3560                          1033                          123                           1368                          0                             2524                          2524                          
AVERY                         2445                          612                           78                            1098                          0                             1788                          1788                          
BALL GROUND                   2800                          597                           57                            1381                          1                             2036                          2036                          
BASCOMB                       3357                          909                           89                            1195                          0                             2193                          2193                          
BELLS                         4038                          1273                          96                            1040                          2                             2411                          2411                          
BOOTH                         3354                          770                           142                           1408                          1                             2321                          2321                          
BRADSHAW                      3521                          695                           129                           1746                          0                             2570                          2570                          
BRIDGEMILL                    4187                          1116                          156                           1697                          1                             2970                          2970                          
CANTON                        4665                          901                           149                           1754                          0                             2804                          2804                          
CARMEL                        3139                          805                           91                            898                           0                             1794                          1794                          
WOODSTOCK                     4697                          994                           113                           1679                          0                             2786                          2786                          
CLAYTON                       2774                          703                           64                            1198                          0                             1965                          1965                          
CONNS CREEK                   617                           201                           11                            214                           0                             426                           426                           
DEER RUN                      2458                          841                           71                            801                           1                             1714                          1714                          
DIXIE                         4384                          1154                          161                           1402                          2                             2719                          2719                          
