




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
CEDAR GROVE SOUTH             3011                          55                            11                            12                            68                            2                             1                             149                           756                           45                            248                           947                           27                            3                             2026                          22                            1                             3                             22                            3                             0                             51                            2226                          
CHAMBLEE                      1402                          159                           18                            1                             257                           9                             0                             444                           151                           32                            7                             319                           3                             0                             512                           31                            4                             1                             40                            0                             1                             77                            1033                          
CHAMBLEE 2                    2212                          279                           40                            3                             529                           13                            1                             865                           211                           34                            11                            510                           7                             0                             773                           37                            3                             1                             53                            1                             0                             95                            1733                          
CHAPEL HILL ELEM              2597                          41                            10                            18                            58                            2                             0                             129                           609                           56                            271                           730                           55                            6                             1727                          20                            3                             9                             11                            1                             0                             44                            1900                          
CHESNUT ELEM                  1862                          224                           36                            7                             128                           123                           0                             518                           296                           37                            35                            210                           216                           0                             794                           41                            6                             2                             9                             10                            1                             69                            1381                          
CLAIREMONT EAST               2815                          285                           36                            258                           31                            0                             0                             610                           493                           81                            973                           98                            5                             0                             1650                          51                            6                             41                            7                             0                             0                             105                           2365                          
CLAIREMONT WEST               2847                          270                           56                            217                           27                            2                             0                             572                           597                           142                           889                           94                            12                            0                             1734                          61                            8                             24                            7                             0                             0                             100                           2406                          
CLAIRMONT ROAD                2573                          302                           92                            73                            107                           6                             0                             580                           471                           123                           319                           303                           5                             1                             1222                          46                            7                             21                            10                            1                             0                             85                            1887                          
CLARKSTON                     4226                          160                           20                            89                            47                            1                             4                             321                           955                           61                            651                           380                           25                            2                             2074                          53                            2                             15                            20                            1                             0                             91                            2486                          
CLIFTON ELEM                  1328                          32                            3                             7                             32                            0                             0                             74                            301                           19                            59                            437                           10                            0                             826                           9                             2                             4                             6                             0                             0                             21                            921                           
COLUMBIA DRIVE                1867                          31                            5                             29                            21                            0                             0                             86                            342                           54                            339                           252                           21                            5                             1013                          11                            2                             11                            5                             1                             0                             30                            1129                          
COLUMBIA ELEM                 1358                          9                             4                             8                             21                            0                             0                             42                            281                           21                            89                            259                           5                             2                             657                           18                            0                             5                             11                            0                             0                             34                            733                           
COLUMBIA MIDDLE               1625                          24                            1                             9                             31                            0                             1                             66                            282                           39                            92                            430                           8                             1                             852                           6                             1                             2                             12                            2                             0                             23                            941                           
CORALWOOD                     2752                          353                           90                            33                            437                           4                             0                             917                           390                           102                           134                           639                           12                            1                             1278                          44                            7                             6                             54                            0                             0                             111                           2306                          
COVINGTON                     1668                          70                            7                             66                            9                             1                             2                             155                           247                           23                            417                           31                            7                             5                             730                           22                            2                             15                            3                             0                             1                             43                            928                           
COVINGTON HWY LIBRARY         953                           10                            1                             20                            2                             1                             0                             34                            142                           11                            128                           18                            4                             0                             303                           13                            1                             6                             1                             0                             0                             21                            358                           
CROSS KEYS HIGH               1748                          306                           40                            9                             282                           2                             0                             639                           241                           37                            24                            299                           7                             0                             608                           42                            3                             4                             30                            0                             2                             81                            1328                          
CROSSROADS                    2293                          48                            4                             59                            13                            19                            1                             144                           420                           42                            613                           117                           243                           1                             1436                          14                            1                             9                             4                             6                             0                             34                            1614                          
DORAVILLE NORTH               2216                          243                           38                            9                             137                           22                            0                             449                           452                           33                            29                            316                           46                            3                             879                           52                            1                             2                             38                            3                             0                             96                            1424                          
DORAVILLE SOUTH               1010                          156                           18                            0                             71                            3                             0                             248                           214                           8                             14                            183                           5                             0                             424                           25                            0                             0                             11                            0                             0                             36                            708                           
DRESDEN ELEM                  3844                          421                           58                            13                            396                           5                             0                             893                           635                           83                            62                            801                           7                             2                             1590                          91                            7                             2                             54                            0                             0                             154                           2637                          
DRUID HILLS HIGH              2535                          311                           36                            104                           53                            4                             1                             509                           703                           91                            364                           116                           24                            9                             1307                          42                            7                             8                             5                             0                             0                             62                            1878                          
DUNAIRE ELEM                  1603                          69                            5                             84                            11                            1                             1                             171                           327                           35                            443                           32                            15                            4                             856                           18                            1                             16                            3                             1                             0                             39                            1066                          
DUNWOODY                      2468                          335                           80                            14                            46                            431                           4                             910                           290                           64                            30                            84                            389                           0                             857                           33                            5                             0                             4                             31                            1                             74                            1841                          
DUNWOODY HIGH                 1772                          378                           126                           4                             78                            420                           1                             1007                          127                           40                            7                             58                            194                           0                             426                           23                            8                             2                             2                             20                            0                             55                            1488                          
DUNWOODY LIBRARY              2234                          459                           118                           9                             38                            716                           2                             1342                          111                           45                            7                             36                            281                           0                             480                           27                            5                             2                             4                             21                            0                             59                            1881                          
EAST LAKE ELEM                3211                          134                           12                            124                           28                            55                            0                             353                           566                           117                           635                           305                           234                           2                             1859                          42                            4                             31                            9                             14                            0                             100                           2312                          
EMBRY HILLS                   1695                          248                           53                            8                             291                           1                             0                             601                           228                           38                            20                            371                           7                             3                             667                           40                            8                             1                             38                            0                             0                             87                            1355                          
EMORY ROAD                    1130                          98                            43                            38                            24                            3                             1                             207                           236                           91                            149                           72                            3                             2                             553                           22                            2                             8                             1                             0                             0                             33                            793                           
EMORY SOUTH                   2943                          381                           59                            216                           105                           59                            0                             820                           503                           105                           464                           223                           101                           1                             1397                          42                            5                             25                            16                            10                            0                             98                            2315                          
EPWORTH                       3505                          297                           24                            117                           27                            96                            1                             562                           802                           141                           799                           151                           384                           3                             2280                          76                            9                             18                            10                            22                            0                             135                           2977                          
EVANSDALE ELEM                2389                          262                           59                            14                            301                           2                             0                             638                           368                           46                            47                            567                           10                            0                             1038                          48                            9                             3                             38                            0                             0                             98                            1774                          
FAIRINGTON ELEM               3724                          34                            4                             34                            22                            28                            1                             123                           829                           54                            409                           424                           339                           2                             2057                          17                            0                             8                             8                             5                             0                             38                            2218                          
FERNBANK ELEM                 1937                          270                           29                            155                           46                            11                            0                             511                           374                           117                           485                           89                            36                            1                             1102                          26                            5                             12                            5                             4                             0                             52                            1665                          
FLAKES MILL FIRE STATION      1569                          29                            6                             8                             25                            2                             0                             70                            398                           25                            100                           481                           21                            1                             1026                          16                            1                             2                             8                             3                             0                             30                            1126                          
FLAT ROCK ELEM                2332                          31                            6                             14                            22                            34                            0                             107                           431                           63                            279                           372                           434                           2                             1581                          12                            2                             6                             6                             5                             0                             31                            1719                          
FLAT SHOALS                   1825                          25                            2                             8                             51                            0                             0                             86                            311                           54                            66                            514                           7                             3                             955                           13                            3                             2                             17                            2                             0                             37                            1078                          
FLAT SHOALS ELEM              1744                          27                            2                             12                            44                            0                             0                             85                            417                           32                            76                            469                           10                            0                             1004                          8                             0                             3                             5                             0                             0                             16                            1105                          
FLAT SHOALS LIBRARY           1961                          18                            3                             13                            31                            0                             0                             65                            429                           39                            112                           475                           12                            6                             1073                          15                            1                             3                             12                            0                             1                             32                            1170                          
FLAT SHOALS PARKWAY           2816                          38                            7                             16                            89                            5                             1                             156                           471                           73                            212                           1080                          33                            2                             1871                          21                            1                             8                             18                            0                             0                             48                            2075                          
FREEDOM MIDDLE                2419                          52                            18                            95                            31                            3                             0                             199                           543                           55                            601                           92                            86                            9                             1386                          13                            1                             21                            5                             2                             0                             42                            1627                          
GEORGETOWN SQUARE             3139                          490                           58                            9                             93                            396                           2                             1048                          384                           37                            32                            160                           440                           2                             1055                          60                            5                             2                             6                             37                            0                             110                           2213                          
GLENHAVEN                     1321                          56                            5                             39                            6                             3                             4                             113                           318                           12                            331                           40                            23                            2                             726                           17                            1                             7                             0                             2                             0                             27                            866                           
GLENNWOOD - 04                770                           70                            10                            54                            6                             1                             0                             141                           193                           25                            232                           28                            3                             0                             481                           14                            2                             14                            1                             1                             0                             32                            654                           
GLENNWOOD - 05                1117                          74                            21                            53                            8                             1                             0                             157                           230                           52                            304                           34                            4                             0                             624                           16                            2                             12                            0                             1                             0                             31                            812                           
GLENWOOD ROAD                 1582                          27                            4                             36                            9                             9                             0                             85                            350                           36                            320                           108                           49                            2                             865                           10                            1                             9                             2                             1                             1                             24                            974                           
GRESHAM ROAD                  2737                          90                            9                             24                            59                            12                            0                             194                           619                           48                            182                           585                           69                            3                             1506                          46                            4                             10                            26                            6                             1                             93                            1793                          
HAMBRICK ELEM                 2703                          115                           16                            77                            45                            1                             0                             254                           527                           52                            673                           156                           19                            3                             1430                          31                            1                             23                            9                             1                             0                             65                            1749                          
HARRIS-MARGARET HARRIS ED     1563                          216                           19                            8                             112                           7                             0                             362                           352                           31                            80                            312                           6                             1                             782                           40                            5                             5                             25                            0                             1                             76                            1220                          
HARRIS-NARVIE J. HARRIS ELEM  3065                          21                            3                             15                            61                            1                             0                             101                           624                           59                            211                           1089                          45                            1                             2029                          14                            2                             8                             26                            1                             0                             51                            2181                          
HAWTHORNE ELEM                3166                          329                           45                            15                            330                           1                             0                             720                           555                           59                            75                            737                           30                            0                             1456                          67                            6                             3                             47                            1                             0                             124                           2300                          
HENDERSON MILL ELEM           2595                          316                           65                            16                            475                           1                             0                             873                           325                           76                            40                            610                           5                             1                             1057                          38                            3                             2                             37                            0                             1                             81                            2011                          
HUGH HOWELL                   1569                          283                           40                            21                            307                           2                             0                             653                           187                           35                            67                            321                           4                             0                             614                           22                            5                             4                             17                            0                             0                             48                            1315                          
HUNTLEY HILLS ELEM            2560                          278                           36                            9                             279                           30                            0                             632                           470                           42                            30                            502                           69                            1                             1114                          63                            3                             1                             34                            7                             0                             108                           1854                          
IDLEWOOD ELEM                 1739                          139                           12                            27                            115                           0                             0                             293                           350                           18                            180                           308                           8                             1                             865                           23                            0                             4                             16                            0                             0                             43                            1201                          
INDIAN CREEK ELEM             1670                          76                            9                             73                            9                             0                             2                             169                           310                           24                            342                           42                            3                             2                             723                           27                            4                             13                            5                             1                             0                             50                            942                           
JOHNSON ESTATES               1077                          187                           22                            43                            70                            15                            0                             337                           165                           64                            152                           136                           33                            1                             551                           15                            1                             3                             7                             1                             0                             27                            915                           
JOLLY ELEM                    2513                          123                           27                            85                            69                            1                             1                             306                           455                           61                            524                           169                           9                             3                             1221                          37                            4                             20                            7                             0                             0                             68                            1595                          
KELLEY CHAPEL ROAD            1133                          31                            2                             11                            24                            2                             0                             70                            228                           30                            109                           338                           21                            4                             730                           5                             0                             2                             2                             0                             0                             9                             809                           
KELLEY LAKE ELEM              2401                          41                            0                             16                            40                            0                             0                             97                            521                           55                            160                           527                           12                            4                             1279                          23                            0                             6                             27                            0                             0                             56                            1432                          
KING-ML KING JR HIGH          3652                          32                            11                            30                            82                            9                             0                             164                           589                           105                           361                           1399                          123                           2                             2579                          14                            0                             9                             18                            2                             0                             43                            2786                          
KINGSLEY ELEM                 2208                          523                           123                           18                            139                           457                           0                             1260                          140                           60                            13                            86                            192                           0                             491                           25                            4                             1                             8                             25                            0                             63                            1814                          
KNOLLWOOD ELEM                1894                          62                            5                             48                            4                             3                             1                             123                           474                           35                            431                           101                           6                             4                             1051                          32                            1                             16                            1                             1                             0                             51                            1225                          
