




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
AVONDALE                      2487                          322                           28                            192                           6                             3                             0                             551                           591                           58                            803                           26                            8                             0                             1486                          104                           4                             24                            1                             1                             0                             134                           2171                          
AVONDALE HIGH - 04            1468                          73                            18                            69                            6                             1                             0                             167                           311                           49                            522                           65                            7                             0                             954                           22                            1                             8                             0                             1                             0                             32                            1153                          
AVONDALE HIGH - 05            1240                          50                            10                            30                            2                             1                             0                             93                            261                           52                            465                           58                            14                            0                             850                           18                            0                             6                             4                             4                             0                             32                            975                           
BETHUNE MIDDLE                3549                          36                            2                             25                            15                            1                             2                             81                            699                           109                           877                           492                           226                           8                             2411                          9                             0                             6                             7                             1                             0                             23                            2515                          
BOULDERCREST RD               1589                          20                            6                             6                             21                            0                             0                             53                            471                           23                            121                           484                           11                            2                             1112                          6                             0                             1                             4                             0                             0                             11                            1176                          
BOULEVARD                     3756                          125                           2                             39                            16                            54                            0                             236                           935                           97                            686                           191                           672                           0                             2581                          69                            4                             23                            7                             39                            0                             142                           2959                          
BRIAR VISTA ELEM              2386                          240                           24                            32                            105                           8                             0                             409                           560                           82                            176                           523                           31                            1                             1373                          70                            5                             7                             18                            0                             0                             100                           1882                          
BRIARCLIFF                    2508                          397                           88                            34                            165                           4                             1                             689                           528                           80                            92                            489                           10                            1                             1200                          55                            5                             3                             24                            0                             0                             87                            1976                          
BRIARLAKE ELEM                1545                          229                           41                            5                             212                           0                             0                             487                           281                           52                            11                            358                           7                             0                             709                           26                            2                             0                             28                            2                             0                             58                            1254                          
BRIARWOOD                     1918                          247                           17                            2                             246                           2                             1                             515                           382                           52                            12                            418                           7                             1                             872                           50                            3                             2                             36                            2                             0                             93                            1480                          
BROCKETT                      2064                          256                           32                            11                            285                           0                             0                             584                           412                           32                            50                            469                           5                             3                             971                           41                            2                             1                             23                            0                             0                             67                            1622                          
