PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
PINCKNEYVILLE V,548,26,246,268,8,36,2,11,23,0,295,26,124,144,1,1247,Gwinnett
PINCKNEYVILLE W,1250,41,465,737,7,97,3,24,69,1,859,65,305,486,3,3032,Gwinnett
PINCKNEYVILLE X,1029,97,424,506,2,119,6,28,85,0,1016,98,363,552,3,2732,Gwinnett
PINCKNEYVILLE Y,1221,31,502,674,14,40,0,6,32,2,289,21,84,181,3,2282,Gwinnett
PINCKNEYVILLE Z,481,63,126,291,1,76,7,12,57,0,861,74,169,614,4,1629,Gwinnett
PINKCNEYVILLE A,992,27,374,586,5,58,5,14,38,1,239,12,73,152,2,1983,Gwinnett
PUCKETTS A,881,41,532,303,5,108,11,38,59,0,2146,131,1262,739,14,3975,Gwinnett
PUCKETTS B,581,38,290,251,2,57,5,17,35,0,1282,78,646,554,4,2377,Gwinnett
PUCKETTS C,619,25,255,336,3,85,4,32,48,1,1183,66,561,550,6,2420,Gwinnett
PUCKETTS D,616,24,304,284,4,86,3,27,56,0,1372,81,700,587,4,2595,Gwinnett
PUCKETTS E,1333,53,704,564,12,92,6,27,58,1,1522,86,775,656,5,3919,Gwinnett
ROCKBRIDGE A,1705,48,918,730,9,61,4,13,44,0,539,48,262,228,1,3006,Gwinnett
ROCKBRIDGE B,1631,47,838,735,11,64,4,18,42,0,620,54,290,273,3,3144,Gwinnett
ROCKBRIDGE C,2307,68,1394,836,9,77,6,26,45,0,647,48,318,280,1,3928,Gwinnett
ROCKBRIDGE D,1570,47,914,597,12,51,1,30,20,0,653,50,367,235,1,2874,Gwinnett
ROCKBRIDGE E,1774,48,880,841,5,70,6,22,41,1,573,35,233,300,5,3387,Gwinnett
ROCKBRIDGE F,2650,81,1834,721,14,69,0,41,26,2,713,56,458,197,2,4385,Gwinnett
ROCKBRIDGE G,2433,90,1502,830,11,76,5,33,38,0,678,59,350,267,2,4165,Gwinnett
ROCKYCREEK A,1302,39,679,578,6,128,5,41,80,2,1934,96,993,842,3,4311,Gwinnett
ROCKYCREEK B,1148,64,570,513,1,148,4,51,93,0,1802,102,893,806,1,3900,Gwinnett
ROCKYCREEK C,1233,69,638,522,4,118,8,42,68,0,1782,91,920,767,4,3895,Gwinnett
SUGAR HILL A,803,50,314,428,11,85,5,22,54,4,1247,56,505,674,12,2940,Gwinnett
SUGAR HILL B,1048,46,418,574,10,144,3,39,102,0,1653,93,640,906,14,3787,Gwinnett
SUGAR HILL C,986,57,424,501,4,133,3,34,96,0,1914,83,646,1176,9,3804,Gwinnett
SUGAR HILL D,838,42,350,442,4,92,4,28,60,0,1412,62,645,696,9,3095,Gwinnett
SUGAR HILL E,671,28,334,301,8,101,4,34,63,0,1099,61,493,538,7,2379,Gwinnett
SUGAR HILL F,873,38,389,438,8,132,3,31,95,3,1381,70,558,744,9,3124,Gwinnett
SUGAR HILL G,610,30,322,256,2,96,5,20,71,0,1136,57,439,638,2,2307,Gwinnett
SUWANEE A,437,18,234,183,2,46,3,13,30,0,468,27,244,194,3,1291,Gwinnett
SUWANEE B,1078,57,678,340,3,134,10,55,68,1,1350,66,843,440,1,3305,Gwinnett
SUWANEE C,1218,63,649,501,5,116,8,38,69,1,1509,123,736,644,6,3878,Gwinnett
SUWANEE D,948,70,453,420,5,126,13,32,79,2,1894,128,834,923,9,3652,Gwinnett
SUWANEE E,934,50,469,409,6,117,13,32,71,1,1601,97,795,702,7,3354,Gwinnett
SUWANEE F,1056,46,506,501,3,123,8,33,81,1,1172,70,506,595,1,3059,Gwinnett
SUWANEE G,985,48,459,474,4,109,6,35,68,0,1104,60,429,614,1,2840,Gwinnett
SUWANEE H,724,65,378,272,9,86,8,32,46,0,1633,130,847,644,12,3082,Gwinnett
