PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
CLYATTVILLE,661,39,373,231,18,45,3,18,24,0,1669,42,907,697,23,3127,Lowndes
DASHER,350,10,212,122,6,54,4,22,27,1,2020,44,1056,903,17,2971,Lowndes
HAHIRA,577,27,296,235,19,66,5,26,32,3,2431,72,1313,1025,21,3783,Lowndes
MILDRED,1631,98,859,630,44,17,1,8,8,0,232,12,156,55,9,3034,Lowndes
NAYLOR,231,6,128,92,5,20,0,9,10,1,488,16,219,251,2,920,Lowndes
NORTHSIDE,7147,307,4849,1888,103,343,12,216,108,7,6179,268,4799,1063,49,21447,Lowndes
RAINWATER,1605,92,1080,410,23,149,6,83,56,4,3590,146,2546,868,30,7165,Lowndes
S LOWNDES,437,33,219,174,11,38,2,15,20,1,1682,83,795,796,8,2860,Lowndes
TRINITY,2425,88,1628,641,68,197,20,82,94,1,3344,111,2215,971,47,8603,Lowndes
