PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
METROPOLITAN (ATL),1728,80,957,690,1,87,2,33,52,0,114,3,51,60,0,2557,DeKalb
MIDVALE ELEM,725,40,511,173,1,84,6,48,30,0,704,61,425,218,0,1828,DeKalb
MIDVALE ROAD,1292,65,812,415,0,72,0,30,42,0,591,37,302,252,0,2437,DeKalb
MIDWAY,1296,58,773,462,3,40,2,18,19,1,98,7,54,37,0,2296,DeKalb
MILLER GROVE,2013,43,1250,711,9,27,0,9,18,0,36,0,22,14,0,3263,DeKalb
MILLER GROVE HIGH,1450,43,829,575,3,17,1,12,4,0,40,0,27,13,0,2378,DeKalb
MILLER GROVE ROAD,1330,37,847,446,0,12,0,4,8,0,47,1,23,23,0,1775,DeKalb
MILLER-ELDRIDGE L MILLER ELEM,1733,59,1095,577,2,21,1,13,6,1,87,3,46,38,0,2555,DeKalb
MONTCLAIR ELEM,968,29,502,435,2,45,1,15,29,0,142,3,58,81,0,1699,DeKalb
MONTGOMERY ELEM  (BHAVN),851,73,442,335,1,107,7,41,59,0,736,74,344,318,0,2072,DeKalb
MONTREAL,761,23,448,290,0,51,4,16,31,0,289,14,125,150,0,1407,DeKalb
MOUNT VERNON EAST (DUN),769,52,453,264,0,84,7,29,48,0,1048,80,555,413,0,2273,DeKalb
MOUNT VERNON WEST (DUN),764,75,456,233,0,74,3,26,45,0,792,70,411,311,0,1952,DeKalb
NARVIE J HARRIS ELEM,2203,65,1485,652,1,32,2,18,12,0,40,1,26,13,0,3065,DeKalb
NORTH DECATUR,865,68,499,297,1,51,4,21,26,0,157,16,72,69,0,1496,DeKalb
NORTH HAIRSTON,1075,32,608,435,0,24,3,12,9,0,121,9,55,57,0,1747,DeKalb
