PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
DISTRICT 1A,135,9,45,81,0,3,0,1,2,0,154,3,66,84,1,377,Crawford
DISTRICT 1B,389,29,152,207,1,10,1,4,5,0,225,8,125,92,0,813,Crawford
DISTRICT 2,507,32,334,141,0,24,0,16,8,0,548,39,377,132,0,1385,Crawford
DISTRICT 3,154,7,87,59,1,31,3,9,19,0,875,36,514,325,0,1331,Crawford
DISTRICT 4,126,11,61,54,0,16,0,7,9,0,906,36,398,471,1,1318,Crawford
DISTRICT 5,110,7,47,56,0,22,0,11,11,0,927,31,384,511,1,1301,Crawford
