PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
FA01A,4191,115,3056,999,21,86,3,47,36,0,598,45,424,127,2,6522,Fulton
FA01B,358,14,238,103,3,6,2,0,4,0,20,1,9,10,0,524,Fulton
HP01,1205,35,521,642,7,70,1,27,42,0,495,18,206,270,1,2537,Fulton
JC01,1870,126,1160,577,7,120,7,61,51,1,1322,82,767,471,2,4228,Fulton
JC02,722,52,446,222,2,35,7,19,9,0,697,91,384,222,0,1836,Fulton
JC03A,196,17,118,61,0,17,4,7,6,0,199,15,122,62,0,473,Fulton
JC03B,549,21,324,203,1,38,2,14,22,0,373,9,204,160,0,1224,Fulton
JC04A,1410,140,1015,252,3,151,24,86,41,0,1381,136,931,314,0,3649,Fulton
JC04B,91,3,63,25,0,9,2,7,0,0,74,4,51,19,0,230,Fulton
JC05,736,31,513,192,0,81,2,42,37,0,651,15,445,189,2,1864,Fulton
JC06,713,65,427,220,1,55,6,21,28,0,1025,103,593,329,0,2350,Fulton
JC07,1390,89,916,384,1,107,4,66,37,0,1207,60,814,333,0,3463,Fulton
JC08,872,38,632,198,4,110,9,56,43,2,964,43,705,208,8,2395,Fulton
JC09,1059,57,678,323,1,89,2,45,42,0,806,49,470,285,2,2502,Fulton
JC10,800,42,518,239,1,69,3,36,30,0,619,36,347,234,2,1921,Fulton
JC11,897,61,610,226,0,77,4,46,27,0,1224,62,845,317,0,2794,Fulton
JC12,579,56,434,87,2,41,6,24,11,0,1177,95,883,196,3,2197,Fulton
JC13A,449,39,325,85,0,61,5,30,26,0,1011,69,724,218,0,1898,Fulton
JC13B,38,3,27,8,0,9,2,5,2,0,153,17,113,23,0,259,Fulton
JC14,708,72,508,127,1,60,5,37,18,0,1000,81,709,210,0,2197,Fulton
JC15,294,16,186,92,0,29,0,15,14,0,202,12,111,79,0,676,Fulton
JC16,802,41,525,236,0,102,6,46,50,0,907,38,532,336,1,2195,Fulton
JC18,791,41,568,181,1,100,3,50,45,2,1100,51,688,359,2,2455,Fulton
JC19,1251,63,969,217,2,143,11,88,44,0,1239,60,962,215,2,3221,Fulton
ML011,627,21,479,125,2,87,4,55,28,0,985,49,699,233,4,2050,Fulton
ML012,103,6,73,24,0,12,3,4,5,0,232,11,181,40,0,430,Fulton
ML01B,19,2,17,0,0,3,0,2,1,0,37,0,29,8,0,70,Fulton
ML021,300,10,197,93,0,65,0,34,31,0,938,14,620,304,0,1627,Fulton
ML022,35,2,26,7,0,17,0,10,7,0,104,3,70,31,0,204,Fulton
ML023,266,21,177,67,1,49,3,31,15,0,716,23,531,161,1,1281,Fulton
ML024,16,0,14,2,0,3,0,1,2,0,57,5,42,10,0,88,Fulton
ML03,755,53,517,181,4,131,14,68,49,0,1799,105,1219,471,4,3312,Fulton
ML04A,433,31,290,112,0,61,3,39,19,0,738,43,529,165,1,1528,Fulton
ML04B,250,27,164,59,0,36,3,15,18,0,571,41,373,157,0,1061,Fulton
ML04C,18,1,15,2,0,1,0,0,1,0,52,0,43,9,0,74,Fulton
ML05A,18,2,12,4,0,0,0,0,0,0,14,2,10,2,0,35,Fulton
ML05B,84,7,49,28,0,4,0,2,2,0,185,10,125,50,0,329,Fulton
ML05C,1243,74,815,354,0,116,6,54,55,1,1414,93,870,450,1,3503,Fulton
ML06A,687,12,448,222,5,46,0,27,19,0,367,13,197,156,1,1514,Fulton
