PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
08A,931,66,588,276,1,79,5,35,39,0,944,54,573,316,1,2482,Fulton
08B,982,59,696,226,1,123,5,74,44,0,1221,27,821,369,4,2895,Fulton
08C,328,45,217,65,1,45,1,29,15,0,607,40,400,166,1,1254,Fulton
08D,283,28,193,59,3,33,5,16,12,0,436,27,292,117,0,947,Fulton
08E,842,92,500,248,2,84,12,33,39,0,966,62,573,331,0,2312,Fulton
08F1,612,45,385,182,0,88,10,43,35,0,879,46,502,330,1,1921,Fulton
08G,932,82,506,341,3,60,0,18,42,0,673,34,333,304,2,2464,Fulton
08H,849,77,550,221,1,74,7,37,30,0,831,59,513,258,1,2211,Fulton
08J,1049,81,635,333,0,118,2,55,61,0,855,42,485,326,2,2441,Fulton
08K,397,14,231,151,1,64,0,28,36,0,260,14,111,133,2,924,Fulton
08L,1688,104,1060,517,7,182,10,76,95,1,751,45,409,295,2,3357,Fulton
08M,558,44,303,208,3,43,4,20,19,0,693,28,360,303,2,1583,Fulton
08N1,232,31,144,55,2,32,0,15,17,0,313,14,176,123,0,711,Fulton
08N2,500,107,287,106,0,22,4,13,5,0,402,53,216,133,0,1143,Fulton
08P,633,11,363,258,1,50,2,18,30,0,168,6,80,82,0,1195,Fulton
09A,1504,48,907,541,8,138,3,66,69,0,465,14,237,214,0,2755,Fulton
09B,197,19,81,97,0,2,0,0,2,0,6,0,1,5,0,318,Fulton
09C,1552,118,862,571,1,24,3,11,10,0,33,4,14,15,0,2433,Fulton
09D,910,52,430,428,0,10,0,3,7,0,19,1,9,9,0,1604,Fulton
09E,1222,40,725,456,1,35,3,16,16,0,49,4,24,21,0,2095,Fulton
09F,1489,118,845,526,0,177,14,72,91,0,969,49,522,397,1,3202,Fulton
09G,1480,55,781,644,0,120,3,44,73,0,399,10,177,212,0,2681,Fulton
09H,466,17,229,220,0,27,0,10,17,0,85,7,28,50,0,837,Fulton
09I,518,11,252,255,0,5,0,2,3,0,10,0,7,3,0,1073,Fulton
09K,1919,92,1052,775,0,30,0,14,16,0,59,4,29,26,0,3588,Fulton
09M,993,30,693,270,0,114,2,66,46,0,288,18,143,127,0,1726,Fulton
10A,1713,89,1077,544,3,25,2,11,12,0,29,3,12,14,0,2418,Fulton
10B,2514,163,1724,622,5,32,1,18,13,0,56,0,35,21,0,3368,Fulton
10C,1259,69,801,382,7,9,1,4,4,0,15,3,8,4,0,2113,Fulton
10D,2057,84,1350,603,20,16,0,12,4,0,53,1,29,22,1,3555,Fulton
10E,545,35,309,200,1,9,2,1,6,0,8,1,3,4,0,817,Fulton
10F,600,42,313,243,2,7,0,4,3,0,18,0,8,10,0,901,Fulton
10G,819,33,534,252,0,2,0,1,1,0,21,2,7,12,0,1109,Fulton
10H1,214,8,138,68,0,3,0,1,2,0,3,0,1,2,0,333,Fulton
10H2,1095,37,632,423,3,23,0,16,7,0,31,0,16,15,0,1882,Fulton
10I,242,14,185,41,2,5,0,5,0,0,10,0,6,4,0,306,Fulton
10J,437,18,151,260,8,6,0,2,4,0,13,1,7,4,1,797,Fulton
10K,842,33,523,286,0,11,0,3,8,0,32,0,15,17,0,1213,Fulton
