"President of the United States",,,,,,,,,,,,,,,,,
"","","DONALD J. TRUMP",,,,,"HILLARY CLINTON",,,,,"GARY JOHNSON",,,,,""
"Precinct","Registered Voters","Election Day","Absentee by Mail","Advance in Person","Provisional","Total Votes","Election Day","Absentee by Mail","Advance in Person","Provisional","Total Votes","Election Day","Absentee by Mail","Advance in Person","Provisional","Total Votes","Total"
"Anna",146,59,2,12,0,73,24,2,6,0,32,0,0,0,0,0,105
"Elmodel",369,67,7,50,0,124,50,15,68,0,133,1,1,2,0,4,261
"Hoggard Mill",285,57,5,30,0,92,63,15,26,1,105,3,0,0,0,3,200
"Milford",256,90,16,27,0,133,55,4,15,0,74,2,0,0,0,2,209
"Newton",918,123,46,183,1,353,127,33,146,0,306,5,0,1,0,6,665
"Total:",1974,396,76,302,1,775,319,69,261,1,650,11,1,3,0,15,1440
