




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
08J                           2441                          326                           42                            476                           2                             7                             2                             855                           333                           81                            593                           14                            28                            0                             1049                          61                            2                             53                            0                             2                             0                             118                           2022                          
08K                           924                           133                           14                            108                           1                             2                             2                             260                           151                           14                            212                           5                             14                            1                             397                           36                            0                             25                            2                             1                             0                             64                            721                           
08L                           3357                          295                           45                            387                           12                            10                            2                             751                           517                           104                           993                           29                            38                            7                             1688                          95                            10                            73                            2                             1                             1                             182                           2621                          
08M                           1583                          303                           28                            353                           4                             3                             2                             693                           208                           44                            297                           2                             4                             3                             558                           19                            4                             19                            1                             0                             0                             43                            1294                          
08N1                          711                           123                           14                            175                           1                             0                             0                             313                           55                            31                            143                           1                             0                             2                             232                           17                            0                             14                            1                             0                             0                             32                            577                           
08N2                          1143                          133                           53                            214                           1                             1                             0                             402                           106                           107                           280                           1                             6                             0                             500                           5                             4                             13                            0                             0                             0                             22                            924                           
08P                           1195                          82                            6                             74                            1                             5                             0                             168                           258                           11                            298                           19                            46                            1                             633                           30                            2                             15                            0                             3                             0                             50                            851                           
09A                           2755                          214                           14                            116                           2                             119                           0                             465                           541                           48                            337                           50                            520                           8                             1504                          69                            3                             17                            1                             48                            0                             138                           2107                          
09B                           318                           5                             0                             1                             0                             0                             0                             6                             97                            19                            6                             40                            35                            0                             197                           2                             0                             0                             0                             0                             0                             2                             205                           
09C                           2433                          15                            4                             1                             7                             6                             0                             33                            571                           118                           51                            524                           287                           1                             1552                          10                            3                             1                             9                             1                             0                             24                            1609                          
09D                           1604                          9                             1                             0                             5                             4                             0                             19                            428                           52                            40                            231                           159                           0                             910                           7                             0                             0                             2                             1                             0                             10                            939                           
09E                           2095                          21                            4                             1                             0                             23                            0                             49                            456                           40                            55                            114                           556                           1                             1222                          16                            3                             1                             3                             12                            0                             35                            1306                          
09F                           3202                          397                           49                            493                           9                             20                            1                             969                           526                           118                           739                           34                            72                            0                             1489                          91                            14                            66                            1                             5                             0                             177                           2635                          
09G                           2681                          212                           10                            135                           7                             35                            0                             399                           644                           55                            511                           29                            241                           0                             1480                          73                            3                             24                            3                             17                            0                             120                           1999                          
09H                           837                           50                            7                             17                            1                             10                            0                             85                            220                           17                            155                           12                            62                            0                             466                           17                            0                             8                             0                             2                             0                             27                            578                           
09I                           1073                          3                             0                             1                             2                             4                             0                             10                            255                           11                            35                            122                           95                            0                             518                           3                             0                             1                             1                             0                             0                             5                             533                           
09K                           3588                          26                            4                             2                             4                             23                            0                             59                            775                           92                            32                            133                           887                           0                             1919                          16                            0                             1                             1                             12                            0                             30                            2008                          
09M                           1726                          127                           18                            15                            2                             126                           0                             288                           270                           30                            70                            33                            590                           0                             993                           46                            2                             4                             0                             62                            0                             114                           1395                          
10A                           2418                          14                            3                             0                             6                             6                             0                             29                            544                           89                            35                            543                           499                           3                             1713                          12                            2                             0                             6                             5                             0                             25                            1767                          
10B                           3368                          21                            0                             3                             24                            8                             0                             56                            622                           163                           80                            1321                          323                           5                             2514                          13                            1                             2                             12                            4                             0                             32                            2602                          
10C                           2113                          4                             3                             0                             0                             8                             0                             15                            382                           69                            28                            269                           504                           7                             1259                          4                             1                             0                             2                             2                             0                             9                             1283                          
10D                           3555                          22                            1                             0                             16                            13                            1                             53                            603                           84                            35                            937                           378                           20                            2057                          4                             0                             0                             8                             4                             0                             16                            2126                          
10E                           817                           4                             1                             0                             3                             0                             0                             8                             200                           35                            12                            201                           96                            1                             545                           6                             2                             0                             0                             1                             0                             9                             562                           
10F                           901                           10                            0                             0                             4                             4                             0                             18                            243                           42                            18                            214                           81                            2                             600                           3                             0                             1                             2                             1                             0                             7                             625                           
10G                           1109                          12                            2                             1                             4                             2                             0                             21                            252                           33                            30                            417                           87                            0                             819                           1                             0                             0                             1                             0                             0                             2                             842                           
10H1                          333                           2                             0                             0                             1                             0                             0                             3                             68                            8                             13                            104                           21                            0                             214                           2                             0                             0                             1                             0                             0                             3                             220                           
10H2                          1882                          15                            0                             2                             11                            3                             0                             31                            423                           37                            39                            464                           129                           3                             1095                          7                             0                             3                             12                            1                             0                             23                            1149                          
10I                           306                           4                             0                             0                             6                             0                             0                             10                            41                            14                            10                            154                           21                            2                             242                           0                             0                             1                             3                             1                             0                             5                             257                           
10J                           797                           4                             1                             1                             4                             2                             1                             13                            260                           18                            18                            99                            34                            8                             437                           4                             0                             1                             0                             1                             0                             6                             456                           
10K                           1213                          17                            0                             1                             12                            2                             0                             32                            286                           33                            39                            406                           78                            0                             842                           8                             0                             0                             3                             0                             0                             11                            885                           
10M                           2075                          13                            4                             2                             11                            1                             0                             31                            609                           47                            91                            381                           94                            11                            1233                          12                            1                             2                             5                             0                             0                             20                            1284                          
10P                           1149                          11                            0                             1                             3                             2                             0                             17                            309                           39                            9                             174                           182                           2                             715                           4                             0                             0                             2                             5                             0                             11                            743                           
10R                           595                           4                             0                             1                             2                             1                             0                             8                             225                           7                             8                             81                            46                            0                             367                           3                             1                             0                             0                             1                             0                             5                             380                           
11B                           4347                          22                            1                             3                             28                            10                            0                             64                            863                           116                           88                            1631                          329                           11                            3038                          13                            1                             2                             14                            7                             0                             37                            3139                          
11C                           2494                          3                             0                             2                             26                            2                             0                             33                            268                           66                            66                            1362                          117                           4                             1883                          4                             0                             0                             12                            2                             0                             18                            1934                          
11E1                          967                           9                             2                             0                             4                             1                             0                             16                            199                           19                            23                            278                           95                            3                             617                           6                             1                             0                             3                             2                             0                             12                            645                           
11E2                          719                           2                             0                             0                             2                             2                             0                             6                             136                           14                            18                            264                           64                            0                             496                           3                             0                             0                             3                             1                             0                             7                             509                           
11E3                          2570                          20                            2                             1                             10                            5                             0                             38                            504                           38                            71                            732                           365                           1                             1711                          13                            0                             0                             5                             5                             0                             23                            1772                          
11G                           1840                          10                            0                             1                             8                             0                             0                             19                            454                           37                            83                            342                           52                            4                             972                           6                             1                             2                             5                             0                             0                             14                            1005                          
11H                           548                           6                             0                             1                             3                             2                             0                             12                            134                           19                            18                            151                           25                            0                             347                           2                             0                             1                             0                             1                             0                             4                             363                           
11J                           1575                          12                            2                             3                             8                             3                             0                             28                            401                           58                            36                            421                           75                            2                             993                           4                             0                             0                             2                             0                             0                             6                             1027                          
11K                           1526                          14                            1                             0                             11                            1                             0                             27                            405                           37                            63                            495                           78                            1                             1079                          12                            0                             1                             4                             1                             0                             18                            1124                          
11M                           2554                          12                            1                             2                             11                            3                             0                             29                            568                           43                            76                            750                           133                           4                             1574                          6                             2                             1                             7                             2                             0                             18                            1621                          
11N                           1931                          15                            0                             3                             11                            1                             0                             30                            422                           49                            44                            718                           143                           13                            1389                          9                             0                             0                             4                             2                             0                             15                            1434                          
11P                           1574                          11                            0                             0                             7                             0                             0                             18                            444                           74                            47                            351                           97                            0                             1013                          8                             0                             1                             4                             1                             0                             14                            1045                          
11R                           1523                          7                             0                             2                             5                             2                             0                             16                            347                           35                            47                            281                           56                            2                             768                           2                             1                             0                             4                             0                             0                             7                             791                           
12A                           3914                          69                            3                             14                            19                            4                             2                             111                           1121                          72                            468                           608                           112                           8                             2389                          42                            0                             7                             11                            5                             0                             65                            2565                          
12D                           1048                          7                             2                             0                             2                             0                             0                             11                            284                           13                            105                           134                           33                            10                            579                           3                             0                             1                             4                             1                             0                             9                             599                           
12E1                          1293                          5                             1                             4                             15                            1                             0                             26                            278                           24                            50                            189                           21                            12                            574                           4                             0                             0                             2                             1                             1                             8                             608                           
12F                           781                           8                             0                             1                             1                             0                             0                             10                            246                           13                            139                           29                            9                             1                             437                           5                             0                             3                             0                             0                             1                             9                             456                           
12G                           689                           21                            0                             0                             5                             1                             0                             27                            278                           9                             42                            75                            19                            1                             424                           6                             0                             1                             2                             0                             0                             9                             460                           
12H                           2931                          28                            4                             4                             8                             1                             0                             45                            895                           54                            333                           331                           46                            5                             1664                          15                            0                             5                             2                             0                             0                             22                            1731                          
12I                           812                           6                             0                             0                             0                             1                             0                             7                             197                           4                             24                            154                           44                            2                             425                           2                             0                             0                             2                             0                             0                             4                             436                           
12J                           2139                          10                            4                             5                             6                             1                             0                             26                            644                           32                            184                           291                           50                            0                             1201                          11                            2                             3                             3                             0                             0                             19                            1246                          
12K                           2446                          36                            1                             14                            6                             6                             2                             65                            794                           28                            269                           136                           60                            12                            1299                          22                            0                             4                             4                             6                             0                             36                            1400                          
12L                           471                           3                             1                             1                             0                             0                             0                             5                             166                           8                             17                            46                            14                            1                             252                           0                             0                             0                             0                             0                             0                             0                             257                           
12M                           2073                          19                            3                             2                             4                             2                             0                             30                            677                           30                            229                           270                           37                            0                             1243                          5                             0                             2                             4                             1                             0                             12                            1285                          
12N                           729                           5                             0                             2                             1                             0                             0                             8                             255                           2                             78                            15                            9                             0                             359                           4                             0                             1                             0                             1                             0                             6                             373                           
12S                           1474                          8                             0                             11                            0                             0                             0                             19                            312                           3                             547                           22                            22                            2                             908                           8                             0                             4                             0                             0                             0                             12                            939                           
AP01A                         1739                          181                           34                            496                           2                             18                            1                             732                           161                           52                            352                           3                             17                            2                             587                           17                            1                             24                            0                             2                             0                             44                            1363                          
AP01B                         685                           57                            13                            126                           1                             6                             0                             203                           79                            7                             149                           1                             10                            1                             247                           13                            0                             16                            0                             1                             0                             30                            480                           
AP01C                         1952                          185                           54                            554                           5                             33                            0                             831                           170                           39                            391                           8                             47                            0                             655                           33                            3                             43                            1                             4                             0                             84                            1570                          
AP01D                         713                           65                            13                            117                           5                             22                            0                             222                           74                            22                            172                           4                             21                            0                             293                           18                            3                             6                             1                             1                             0                             29                            544                           
